STATION_NAT_ABBR_TX;PARAM_SHORT_NAME_TX;MEAS_CAT_NR;SINCE_DT;TILL_DT;OWNER_ORG_NAME_TX
EFF;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
LAN;rre150d0;1;01.01.1961 00:00;31.12.2004 00:00;MeteoSchweiz
LAN;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
BSP;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
BSP;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
BRA;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
VEL;rre150d0;1;01.05.1997 00:00;31.12.2004 00:00;MeteoSchweiz
MOW;rre150d0;1;01.07.1999 00:00;31.12.2004 00:00;MeteoSchweiz
CHU;rre150d0;1;01.01.2006 00:00;21.03.2007 00:00;MeteoSchweiz
LON;rre150d0;1;01.04.2006 00:00;31.12.2011 00:00;MeteoSchweiz
MAS;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
GIN;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
BUE;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
ZUB;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
SEV;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
REG;rre150d0;1;01.01.1961 00:00;31.12.2004 00:00;MeteoSchweiz
DIB;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
POT;rre150d0;1;01.01.1961 00:00;31.12.2004 00:00;MeteoSchweiz
POT;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
CAC;rre150d0;1;01.01.1961 00:00;31.12.2004 00:00;MeteoSchweiz
ARB;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
HEK;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
HEK;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
BUD;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
SAE;rre150d0;1;01.07.2005 00:00;11.10.2005 00:00;MeteoSchweiz
ALT;rre150d0;1;01.01.2006 00:00;30.04.2012 00:00;MeteoSchweiz
BUF;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
AUB;rre150d0;1;01.01.2022 00:00;07.11.2024 00:00;MeteoSchweiz
ELM;rre150d0;1;01.07.2005 00:00;11.10.2005 00:00;MeteoSchweiz
GRC;rre150d0;1;01.07.2005 00:00;11.10.2005 00:00;MeteoSchweiz
BAS;rre150d0;1;01.01.2006 00:00;30.04.2012 00:00;MeteoSchweiz
BOZ;rre150d0;1;01.01.1939 00:00;31.12.1989 00:00;MeteoSchweiz
VIG;rre150d0;1;01.01.2006 00:00;30.04.2009 00:00;MeteoSchweiz
CMD;rre150d0;1;01.01.1961 00:00;31.12.2004 00:00;MeteoSchweiz
MAD;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
ZOF;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
FRA;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
PAY;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
ENG;rre150d0;1;01.01.2006 00:00;30.04.2012 00:00;MeteoSchweiz
GLA;rre150d0;1;01.07.2005 00:00;11.10.2005 00:00;MeteoSchweiz
LEU;rre150d0;1;01.01.2006 00:00;30.04.2012 00:00;MeteoSchweiz
BIA;rre150d0;1;04.09.1938 00:00;08.12.1938 00:00;MeteoSchweiz
GRI;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
HER;rre150d0;1;01.01.2006 00:00;30.09.2006 00:00;MeteoSchweiz
HER;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
RIH;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
APP;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
LUZ;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
PFA;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
SDO;rre150d0;1;14.03.1917 00:00;14.03.1917 00:00;MeteoSchweiz
SDO;rre150d0;1;16.05.1923 00:00;16.05.1923 00:00;MeteoSchweiz
SDO;rre150d0;1;13.08.1924 00:00;13.08.1924 00:00;MeteoSchweiz
SDO;rre150d0;1;05.01.1939 00:00;05.01.1939 00:00;MeteoSchweiz
SDO;rre150d0;1;19.10.1944 00:00;19.10.1944 00:00;MeteoSchweiz
SDO;rre150d0;1;06.07.1948 00:00;28.08.1948 00:00;MeteoSchweiz
SDO;rre150d0;1;02.06.1953 00:00;23.10.1953 00:00;MeteoSchweiz
SDO;rre150d0;1;25.08.1955 00:00;28.10.1955 00:00;MeteoSchweiz
SDO;rre150d0;1;22.02.1960 00:00;22.02.1960 00:00;MeteoSchweiz
PAV;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
PAV;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
EUT;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
VRI;rre150d0;1;05.12.1929 00:00;08.12.1929 00:00;MeteoSchweiz
VRI;rre150d0;1;17.10.1942 00:00;28.10.1942 00:00;MeteoSchweiz
VRI;rre150d0;1;19.01.1945 00:00;30.01.1945 00:00;MeteoSchweiz
GRE;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
BUS;rre150d0;1;01.07.2005 00:00;11.10.2005 00:00;MeteoSchweiz
MOS;rre150d0;1;01.01.2022 00:00;17.12.2024 00:00;MeteoSchweiz
WID;rre150d0;1;01.01.1961 00:00;31.12.2004 00:00;MeteoSchweiz
FIT;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
NEU;rre150d0;1;01.01.1900 00:00;31.12.2004 00:00;MeteoSchweiz
JUS;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
BER;rre150d0;1;01.07.2005 00:00;11.10.2005 00:00;MeteoSchweiz
ULR;rre150d0;1;01.01.2006 00:00;30.04.2012 00:00;MeteoSchweiz
WFJ;rre150d0;1;01.01.1959 00:00;31.12.2004 00:00;MeteoSchweiz
ALV;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
FLI;rre150d0;1;11.04.2023 00:00;18.12.2024 00:00;MeteoSchweiz
SAR;rre150d0;1;01.05.1888 00:00;31.12.2004 00:00;MeteoSchweiz
MES;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
ERB;rre150d0;1;01.01.1969 00:00;31.12.2004 00:00;MeteoSchweiz
ERB;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
STG;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
GWA;rre150d0;1;01.01.1961 00:00;31.12.2004 00:00;MeteoSchweiz
WEE;rre150d0;1;05.07.1950 00:00;05.07.1950 00:00;MeteoSchweiz
WEE;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
DAV;rre150d0;1;01.07.2005 00:00;30.04.2012 00:00;MeteoSchweiz
LFB;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
TST;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
SKO;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
SKO;rre150d0;1;01.01.2022 00:00;17.12.2024 00:00;MeteoSchweiz
DIE;rre150d0;1;01.06.1879 00:00;31.12.2004 00:00;MeteoSchweiz
WHA;rre150d0;1;01.01.1961 00:00;31.12.2004 00:00;MeteoSchweiz
SPZ;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
OLI;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
OLI;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
EPT;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
DMA;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
STU;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
WAN;rre150d0;1;01.01.1993 00:00;31.12.2004 00:00;MeteoSchweiz
SAF;rre150d0;1;01.11.1994 00:00;31.12.2004 00:00;MeteoSchweiz
SAF;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
VVI;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
GUG;rre150d0;1;01.01.1961 00:00;31.12.2004 00:00;MeteoSchweiz
GUG;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
FRI;rre150d0;1;08.08.1931 00:00;08.08.1931 00:00;MeteoSchweiz
FRI;rre150d0;1;31.03.1932 00:00;31.03.1932 00:00;MeteoSchweiz
FRI;rre150d0;1;08.02.1933 00:00;23.08.1933 00:00;MeteoSchweiz
FRI;rre150d0;1;23.09.1934 00:00;16.10.1934 00:00;MeteoSchweiz
FRI;rre150d0;1;15.06.1935 00:00;10.08.1935 00:00;MeteoSchweiz
GSG;rre150d0;1;02.12.1934 00:00;04.12.1934 00:00;MeteoSchweiz
ALM;rre150d0;1;01.01.1973 00:00;31.12.2004 00:00;MeteoSchweiz
UNS;rre150d0;1;01.01.1982 00:00;31.12.2004 00:00;MeteoSchweiz
SIA;rre150d0;1;01.02.1914 00:00;31.12.2004 00:00;MeteoSchweiz
BAM;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
COP;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
MST;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
TRU;rre150d0;1;01.01.1961 00:00;31.12.2004 00:00;MeteoSchweiz
SZB;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
BNE;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
WIE;rre150d0;1;01.01.1961 00:00;31.12.2004 00:00;MeteoSchweiz
SAG;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
MOU;rre150d0;1;01.01.1969 00:00;31.12.2004 00:00;MeteoSchweiz
ABO;rre150d0;1;29.03.1945 00:00;29.03.1945 00:00;MeteoSchweiz
ABO;rre150d0;1;01.01.1959 00:00;31.12.2004 00:00;MeteoSchweiz
ABO;rre150d0;1;01.01.2022 00:00;18.12.2024 00:00;MeteoSchweiz
SRN;rre150d0;1;01.01.2006 00:00;31.12.2011 00:00;MeteoSchweiz
SWZ;rre150m0;1;01.12.1995 00:00;01.12.2004 00:00;MeteoSchweiz
TIC;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
KIB;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
LAN;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
URB;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
ORZ;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
GHS;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
BSP;rre150m0;1;01.10.1900 00:00;01.12.2004 00:00;MeteoSchweiz
BRA;rre150m0;1;01.01.1970 00:00;01.12.2004 00:00;MeteoSchweiz
EHM;rre150m0;1;01.01.1901 00:00;01.12.2004 00:00;MeteoSchweiz
MOW;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
ARO;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
LON;rre150m0;1;01.12.2005 00:00;01.09.2007 00:00;MeteoSchweiz
LON;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
LAG;rre150m0;1;01.10.1900 00:00;01.12.2004 00:00;MeteoSchweiz
LOC;rre150m0;1;01.01.1946 00:00;01.12.2004 00:00;MeteoSchweiz
LOC;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
BUE;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
RIC;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
RIC;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
ZUB;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
AST;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
VAR;rre150m0;1;01.05.1887 00:00;01.07.1890 00:00;MeteoSchweiz
TEU;rre150m0;1;01.01.1961 00:00;01.12.2004 00:00;MeteoSchweiz
REG;rre150m0;1;01.10.2022 00:00;01.11.2024 00:00;MeteoSchweiz
WEF;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
DIB;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
CAC;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
TRO;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
TRO;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
CBS;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
BUD;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
SAE;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
SAE;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
BUF;rre150m0;1;01.01.1917 00:00;01.09.1944 00:00;MeteoSchweiz
AUB;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
GAD;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
GRC;rre150m0;1;01.05.1875 00:00;01.11.1875 00:00;MeteoSchweiz
GRC;rre150m0;1;01.05.1883 00:00;01.08.1883 00:00;MeteoSchweiz
GRC;rre150m0;1;01.10.1883 00:00;01.12.1886 00:00;MeteoSchweiz
GRC;rre150m0;1;01.08.1899 00:00;01.05.1911 00:00;MeteoSchweiz
GRC;rre150m0;1;01.01.1931 00:00;01.12.1931 00:00;MeteoSchweiz
FRC;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
FRC;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
SAB;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
SAB;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
SWA;rre150m0;1;01.01.1972 00:00;01.12.2004 00:00;MeteoSchweiz
SWA;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
SWA;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
BOZ;rre150m0;1;01.01.1939 00:00;01.12.2004 00:00;MeteoSchweiz
VIG;rre150m0;1;01.11.2007 00:00;01.04.2009 00:00;MeteoSchweiz
VIG;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
CMD;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
AFI;rre150m0;1;01.01.1902 00:00;01.12.2004 00:00;MeteoSchweiz
SNS;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
SNS;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
ENG;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
GLA;rre150m0;1;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
SVG;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
GVE;rre150m0;1;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
GRI;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
HER;rre150m0;1;01.04.2007 00:00;01.09.2007 00:00;MeteoSchweiz
APP;rre150m0;1;01.01.2022 00:00;01.10.2022 00:00;MeteoSchweiz
LEN;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
KRO;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
DEH;rre150m0;1;01.01.2022 00:00;01.08.2022 00:00;MeteoSchweiz
OBD;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
PAV;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
PAV;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
LAF;rre150m0;1;01.06.1987 00:00;01.12.2004 00:00;MeteoSchweiz
EUT;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
AIG;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
KLO;rre150m0;1;01.07.2005 00:00;01.09.2007 00:00;MeteoSchweiz
KLO;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
MER;rre150m0;1;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
BUS;rre150m0;1;01.06.1984 00:00;01.12.2004 00:00;MeteoSchweiz
FIT;rre150m0;1;01.08.1999 00:00;01.12.2004 00:00;MeteoSchweiz
ULR;rre150m0;1;01.01.2006 00:00;01.08.2007 00:00;MeteoSchweiz
ULR;rre150m0;1;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
ULR;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
WFJ;rre150m0;1;01.01.2006 00:00;01.07.2007 00:00;MeteoSchweiz
WFJ;rre150m0;1;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
ALV;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
ALV;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
GEP;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
FIO;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
LEH;rre150m0;1;01.01.1961 00:00;01.12.2004 00:00;MeteoSchweiz
LEH;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
FLI;rre150m0;1;01.01.1961 00:00;01.12.2004 00:00;MeteoSchweiz
TAW;rre150m0;1;01.10.1975 00:00;01.12.2004 00:00;MeteoSchweiz
TAW;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
SIS;rre150m0;1;01.06.1995 00:00;01.12.2004 00:00;MeteoSchweiz
SIS;rre150m0;1;01.01.2022 00:00;01.10.2022 00:00;MeteoSchweiz
IST;rre150m0;1;01.01.1961 00:00;01.12.2004 00:00;MeteoSchweiz
IST;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
IST;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
MES;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
CAV;rre150m0;1;01.01.2022 00:00;01.01.2022 00:00;MeteoSchweiz
HON;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
ERB;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
SCE;rre150m0;1;01.01.1901 00:00;01.01.2005 00:00;MeteoSchweiz
SCE;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
MOA;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
MOA;rre150m0;1;01.01.2022 00:00;01.03.2023 00:00;MeteoSchweiz
JAU;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
KUB;rre150m0;1;01.01.1991 00:00;01.12.2004 00:00;MeteoSchweiz
ABG;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
GSS;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
BIV;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
COU;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
TST;rre150m0;1;01.01.1961 00:00;01.12.2004 00:00;MeteoSchweiz
SPZ;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
SCH;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
OLI;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
OLI;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
DMA;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
COS;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
AVE;rre150m0;1;01.01.1938 00:00;01.12.2004 00:00;MeteoSchweiz
AVE;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
ERI;rre150m0;1;01.01.1972 00:00;01.12.2004 00:00;MeteoSchweiz
WAN;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
SAF;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
GOS;rre150m0;1;01.01.1895 00:00;01.12.2004 00:00;MeteoSchweiz
GOS;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
VVI;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
GUG;rre150m0;1;01.01.1961 00:00;01.12.2004 00:00;MeteoSchweiz
GUG;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
FRI;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
PON;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
PON;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
LTB;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
PUD;rre150m0;1;01.01.1974 00:00;01.12.2004 00:00;MeteoSchweiz
UNS;rre150m0;1;01.01.1982 00:00;01.12.2004 00:00;MeteoSchweiz
SIA;rre150m0;1;01.11.2007 00:00;01.04.2012 00:00;MeteoSchweiz
BIO;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
SAM;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
OTL;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
COP;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
INF;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
MST;rre150m0;1;01.01.1973 00:00;01.12.2004 00:00;MeteoSchweiz
ECH;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
MUL;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
BNE;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
WIE;rre150m0;1;01.01.1961 00:00;01.12.2004 00:00;MeteoSchweiz
WIE;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
BOV;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
ALW;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
SAG;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
CDF;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
SCU;rre150m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
MOU;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
ABO;rre150m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
KUA;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
SPA;rre150m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
MGI;rre150m0;1;01.01.1975 00:00;01.12.2004 00:00;MeteoSchweiz
BSG;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
SRN;rre150m0;1;01.11.2007 00:00;01.12.2011 00:00;MeteoSchweiz
CUE;hns000m0;1;01.09.2010 00:00;01.11.2010 00:00;MeteoSchweiz
CUE;hns000m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
URB;hns000m0;1;01.02.2012 00:00;01.04.2012 00:00;MeteoSchweiz
URB;hns000m0;1;01.01.2022 00:00;01.09.2024 00:00;MeteoSchweiz
APT;hns000m0;1;01.11.2023 00:00;01.08.2024 00:00;MeteoSchweiz
ARI;hns000m0;1;01.01.2022 00:00;01.01.2023 00:00;MeteoSchweiz
ORZ;hns000m0;1;01.08.2024 00:00;01.08.2024 00:00;MeteoSchweiz
GEA;hns000m0;1;01.01.2022 00:00;01.08.2022 00:00;MeteoSchweiz
BSP;hns000m0;1;01.11.2009 00:00;01.03.2010 00:00;MeteoSchweiz
BSP;hns000m0;1;01.06.2024 00:00;01.08.2024 00:00;MeteoSchweiz
ARO;hns000m0;1;01.08.2004 00:00;01.12.2004 00:00;MeteoSchweiz
CHU;hns000m0;1;01.01.2022 00:00;01.11.2024 00:00;MeteoSchweiz
LON;hns000m0;1;01.09.2010 00:00;01.11.2010 00:00;MeteoSchweiz
LAG;hns000m0;1;01.01.2006 00:00;01.09.2007 00:00;MeteoSchweiz
LAG;hns000m0;1;01.12.2008 00:00;01.05.2009 00:00;MeteoSchweiz
LAG;hns000m0;1;01.09.2010 00:00;01.11.2010 00:00;MeteoSchweiz
LAG;hns000m0;1;01.01.2012 00:00;01.04.2012 00:00;MeteoSchweiz
ANT;hns000m0;1;01.03.2008 00:00;01.04.2008 00:00;MeteoSchweiz
ANT;hns000m0;1;01.11.2009 00:00;01.04.2010 00:00;MeteoSchweiz
FRF;hns000m0;1;01.01.2022 00:00;01.02.2022 00:00;MeteoSchweiz
VAR;hns000m0;1;01.08.2024 00:00;01.08.2024 00:00;MeteoSchweiz
TEU;hns000m0;1;01.01.2022 00:00;01.03.2022 00:00;MeteoSchweiz
TEU;hns000m0;1;01.02.2023 00:00;01.05.2023 00:00;MeteoSchweiz
DIB;hns000m0;1;01.07.2010 00:00;01.07.2010 00:00;MeteoSchweiz
DIB;hns000m0;1;01.09.2010 00:00;01.11.2010 00:00;MeteoSchweiz
DIB;hns000m0;1;01.10.2022 00:00;01.08.2024 00:00;MeteoSchweiz
DIB;hns000m0;1;01.10.2024 00:00;01.10.2024 00:00;MeteoSchweiz
TRO;hns000m0;1;01.01.2009 00:00;01.05.2009 00:00;MeteoSchweiz
TRO;hns000m0;1;01.11.2009 00:00;01.01.2010 00:00;MeteoSchweiz
TRO;hns000m0;1;01.04.2010 00:00;01.04.2010 00:00;MeteoSchweiz
KAR;hns000m0;1;01.11.2009 00:00;01.04.2010 00:00;MeteoSchweiz
KAR;hns000m0;1;01.06.2010 00:00;01.07.2010 00:00;MeteoSchweiz
BLU;hns000m0;1;01.06.2024 00:00;01.08.2024 00:00;MeteoSchweiz
MUT;hns000m0;1;01.01.2012 00:00;01.04.2012 00:00;MeteoSchweiz
HEK;hns000m0;1;01.10.2024 00:00;01.10.2024 00:00;MeteoSchweiz
